ticker,event_date,event_type,alpha,beta,nearest_earnings_date,days_to_earnings,abs_days_to_earnings,earnings_surprise_pct,pre_earnings,CAR_pre20_pre1,CAR_0_1,CAR_0_5,CAR_0_10,CAR_0_20
META,2025-03-05,S - Sale,0.0008563054609895,0.9478933216061748,2025-01-29 16:00:00,-24,24,18.67,False,-0.0671248745770412,-0.008622417301444,-0.0269172216711537,-0.0275687294838703,-0.0293343079870858
META,2025-03-06,S - Sale,0.0008447757084266,0.9456641085643888,2025-01-29 16:00:00,-25,25,18.67,False,-0.0453895043985888,-0.0307809111218789,-0.0242122460051415,-0.0385895510321495,-0.0462343478255235
META,2025-03-12,S - Sale,0.0009337891436503,0.919516747599058,2025-01-29 16:00:00,-29,29,18.67,False,-0.0326543029918702,-0.0188806392801167,-0.0223598242732531,-0.0385975886268376,-0.0436029934860221
META,2025-03-13,S - Sale,0.0009990434808816,0.9185204087046916,2025-01-29 16:00:00,-30,30,18.67,False,-0.0136365713330757,-0.0250134128472733,-0.0558334366580421,-0.0497792762482835,-0.0677475964561266
META,2025-03-19,S - Sale,0.0015394284791348,0.9082944850368316,2025-04-30 16:00:00,29,29,23.53,True,-0.0851817446454353,-0.0066108555378441,0.0202992583804219,-0.0111743315872709,-0.0268565921084269
META,2025-03-20,S - Sale,0.00132249383819,0.9124994582407108,2025-04-30 16:00:00,28,28,23.53,True,-0.0941809154033269,0.0164422295617522,0.0388210613368539,0.0018629499517554,0.0234585358759252
META,2025-03-27,S - Sale,0.0011610369023895,0.9184726585107448,2025-04-30 16:00:00,23,23,23.53,True,-0.0311832518731808,-0.0292624613265065,-0.0222572208269246,-0.0691462639869829,-0.1189553574490188
META,2025-03-26,S - Sale,0.0011064487691066,0.9162258923710438,2025-04-30 16:00:00,24,24,23.53,True,-0.0442530211893961,-0.0168798438077573,-0.0366252775150487,-0.0759531847830865,-0.115366385846665
META,2025-04-02,S - Sale,0.0011646815119188,0.917830681867168,2025-04-30 16:00:00,19,19,23.53,True,-0.0575850276083839,-0.048618388554622,-0.0262216970793602,-0.0381953069458061,-0.103487502786659
META,2025-04-03,S - Sale,0.0011864159627449,0.920153745075512,2025-04-30 16:00:00,18,18,23.53,True,-0.0407025006366356,-0.0340919639618983,-0.0060126292376708,-0.0256085308925079,-0.0752134365577463
